DateTime,ExternalT,ExternalRH,ExternalPw,RoomT,RoomRH,RoomPw,DelPw,Season,RetrofitStatus,HomeID,BuiltType,BuiltYear,Occupants,Income,RoomType,RoomDPT
2016-10-25T16:00:00Z,12.7,87,1.28,20,52,1.22,0.08,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,9.8
2016-04-18T00:00:00Z,7.4,72,0.74,19.6,39,0.9,-0.26,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,5.4
2016-04-24T02:00:00Z,2.6,80,0.59,20.6,40,0.97,-0.45,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,6.5
2016-12-01T07:00:00Z,0.6,94,0.6,18.5,38,0.81,-0.32,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,3.9
2016-02-26T09:00:00Z,4.6,84,0.71,16.5,42,0.78,-0.14,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,3.4
2015-11-21T16:00:00Z,3.8,86,0.69,15.4,50,0.88,-0.22,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,5.1
2015-12-28T01:00:00Z,10.9,86,1.12,22.4,47,1.26,-0.17,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,10.4
2016-05-17T08:00:00Z,14.9,67,1.14,21,48,1.18,-0.09,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,9.4
2015-05-10T13:00:00Z,14.6,72,1.2,18.5,56,1.19,-0.05,Heating,Pre Retrofit,H01,ET,1994,1,17433,Living Room,9.6
2015-05-22T03:00:00Z,12.3,94,1.34,19.5,54,1.22,0.06,Heating,Pre Retrofit,H01,ET,1994,1,17433,Living Room,9.9
,14.8,82,1.39,21.9,58,1.52,-0.19,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,13.2
2016-07-18T12:00:00Z,23.4,66,1.91,24.4,60,1.85,0.01,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,16.2
2015-03-07T02:00:00Z,9.8,78,0.94,16.5,47,0.88,0.01,Heating,Pre Retrofit,H01,ET,1994,1,17433,Living Room,5.1
2015-03-16T04:00:00Z,5.3,86,0.77,20,39,0.91,-0.14,Heating,Pre Retrofit,H01,ET,1994,1,17433,Living Room,5.6
2016-07-30T09:00:00Z,14.9,66,1.11,22,54,1.41,-0.36,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,12.1
2015-03-02T21:00:00Z,1.3,87,0.58,22,33,0.87,-0.33,Heating,Pre Retrofit,H01,ET,1994,1,17433,Living Room,5
2015-10-06T09:00:00Z,15.7,86,1.54,20.5,58,1.4,0.11,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,12
2016-01-05T02:00:00Z,5.2,98,0.87,22.8,42,1.16,-0.4,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,9.2
2016-09-06T06:00:00Z,19.6,76,1.75,23.5,64,1.85,-0.18,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,16.3
,6.5,81,0.78,19.5,46,1.04,-0.33,Heating,Pre Retrofit,H01,ET,1994,1,17433,Living Room,7.6
2015-11-07T07:00:00Z,10.4,98,1.24,19,59,1.29,-0.1,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,10.7
2016-09-16T10:00:00Z,14.7,73,1.22,22,54,1.43,-0.28,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,12.3
2015-06-02T05:00:00Z,8.2,87,0.94,16.2,50,0.91,-0.03,Non-Heating,Pre Retrofit,H01,ET,1994,1,17433,Living Room,5.7
2016-04-25T11:00:00Z,11,55,0.72,19.9,40,0.93,-0.19,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,6
2016-11-18T19:00:00Z,3,89,0.68,16.1,44,0.8,-0.15,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,3.8
2016-09-27T22:00:00Z,12.6,83,1.21,21.4,56,1.41,-0.3,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,12.1
2016-11-26T21:00:00Z,5.1,98,0.86,21.9,41,1.07,-0.26,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,7.9
2015-02-26T08:00:00Z,6.2,85,0.81,16,56,1.02,-0.24,Heating,Pre Retrofit,H01,ET,1994,1,17433,Living Room,7.2
2016-03-15T13:00:00Z,8.9,70,0.8,20,41,0.96,-0.16,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,6.3
